,cluster,qb_name,qb_sec,height,weight
0,0,Jack Coan,Jack Coan,75,218
1,0,Matt Corral,Matt Corral,74,212
2,1,Dustin Crum,Dustin Crum,73,210
3,1,Kaleb Eleby,Kaleb Eleby,73,208
4,0,Sam Howell,Sam Howell,73,218
5,3,Cole Kelley,Cole Kelley,79,249
6,1,D'Eriq King,D'Eriq King,69,196
7,0,EJ Perry,EJ Perry,74,211
8,0,Kenny Pickett,Kenny Pickett,75,217
9,0,Brock Purdy,Brock Purdy,75,212
10,0,Desmond Ridder,Desmond Ridder,75,211
11,2,Carson Strong,Carson Strong,75,226
12,0,Skylar Thompson,Skylar Thompson,75,217
13,0,Malik Willis,Malik Willis,74,219
14,1,Bailey Zappe,Bailey Zappe,72,215
15,0,Tom Brady,Tom Brady,76,211
16,0,Marc Bulger,Marc Bulger,74,208
17,2,Giovanni Carmazzi,Giovanni Carmazzi,75,224
18,1,Joe Hamilton,Joe Hamilton,70,192
19,0,Todd Husak,Todd Husak,75,216
20,2,Jarious Jackson,Jarious Jackson,72,226
21,2,Tee Martin,Tee Martin,74,227
22,2,Chad Pennington,Chad Pennington,75,229
23,1,Tim Rattay,Tim Rattay,72,215
24,2,Chris Redman,Chris Redman,75,222
25,2,Spergon Wynn,Spergon Wynn,75,229
26,0,Josh Booty,Josh Booty,74,221
27,1,Drew Brees,Drew Brees,72,213
28,2,Quincy Carter,Quincy Carter,74,225
29,0,Josh Heupel,Josh Heupel,74,215
30,0,Mike McMahon,Mike McMahon,74,207
31,2,Jesse Palmer,Jesse Palmer,74,231
32,4,Sage Rosenfels,Sage Rosenfels,76,228
33,2,Marques Tuiasosopo,Marques Tuiasosopo,73,223
34,1,Michael Vick,Michael Vick,72,210
35,4,Chris Weinke,Chris Weinke,76,226
36,2,David Carr,David Carr,75,223
37,0,Ronald Curry,Ronald Curry,74,220
38,2,Rohan Davey,Rohan Davey,74,245
39,0,Brandon Doman,Brandon Doman,74,210
40,2,Randy Fasani,Randy Fasani,75,224
41,2,David Garrard,David Garrard,74,235
42,0,Joey Harrington,Joey Harrington,76,215
43,0,Kurt Kittner,Kurt Kittner,74,221
44,4,Josh McCown,Josh McCown,76,221
45,2,J.T. O'Sullivan,J.T. O'Sullivan,74,223
46,0,Patrick Ramsey,Patrick Ramsey,74,219
47,2,Kyle Boller,Kyle Boller,75,234
48,0,Ken Dorsey,Ken Dorsey,77,208
49,0,Rex Grossman,Rex Grossman,73,217
50,0,Kliff Kingsbury,Kliff Kingsbury,75,213
51,3,Byron Leftwich,Byron Leftwich,77,241
52,4,Carson Palmer,Carson Palmer,77,232
53,3,Dave Ragone,Dave Ragone,76,249
54,4,Chris Simms,Chris Simms,76,220
55,1,Seneca Wallace,Seneca Wallace,71,196
56,2,Josh Harris,Josh Harris,73,238
57,2,Craig Krenzel,Craig Krenzel,75,228
58,2,J.P. Losman,J.P. Losman,74,224
59,4,Eli Manning,Eli Manning,77,221
60,2,Matt Mauck,Matt Mauck,74,228
61,0,Luke McCown,Luke McCown,76,208
62,3,John Navarre,John Navarre,78,246
63,2,Bradlee Van Pelt,Bradlee Van Pelt,74,231
64,2,Cody Pickett,Cody Pickett,75,233
65,4,Philip Rivers,Philip Rivers,77,229
66,3,Ben Roethlisberger,Ben Roethlisberger,77,241
67,3,Matt Schaub,Matt Schaub,78,243
68,2,Jeff Smoker,Jeff Smoker,75,223
69,1,B.J. Symons,B.J. Symons,72,210
70,3,Derek Anderson,Derek Anderson,78,242
71,4,Jason Campbell,Jason Campbell,77,230
72,2,Ryan Fitzpatrick,Ryan Fitzpatrick,74,232
73,4,Charlie Frye,Charlie Frye,76,225
74,2,David Greene,David Greene,75,226
75,1,Stefan LeFors,Stefan LeFors,72,208
76,0,Adrian McPherson,Adrian McPherson,75,218
77,4,Dan Orlovsky,Dan Orlovsky,77,225
78,4,Kyle Orton,Kyle Orton,76,233
79,2,Aaron Rodgers,Aaron Rodgers,74,223
80,0,Alex Smith,Alex Smith,76,217
81,3,Andrew Walter,Andrew Walter,78,233
82,2,Kellen Clemens,Kellen Clemens,74,224
83,0,Brodie Croyle,Brodie Croyle,74,205
84,2,Jay Cutler,Jay Cutler,75,226
85,0,Bruce Gradkowski,Bruce Gradkowski,73,217
86,2,Tarvaris Jackson,Tarvaris Jackson,74,226
87,4,Omar Jacobs,Omar Jacobs,76,232
88,4,Matt Leinart,Matt Leinart,77,223
89,0,Ingle Martin,Ingle Martin,74,220
90,1,Reggie McNeal,Reggie McNeal,74,198
91,0,D.J. Shockley,D.J. Shockley,73,214
92,4,Charlie Whitehurst,Charlie Whitehurst,77,223
93,4,Vince Young,Vince Young,77,229
94,0,John Beck,John Beck,74,215
95,4,Trent Edwards,Trent Edwards,76,231
96,0,Kevin Kolb,Kevin Kolb,75,218
97,4,Jordan Palmer,Jordan Palmer,78,231
98,4,Brady Quinn,Brady Quinn,76,232
99,4,Jeff Rowe,Jeff Rowe,77,226
100,3,JaMarcus Russell,JaMarcus Russell,77,265
101,2,Troy Smith,Troy Smith,72,225
102,0,Isaiah Stanback,Isaiah Stanback,74,216
103,2,Drew Stanton,Drew Stanton,75,226
