,cluster,qb_name,qb_sec,height,weight
0,4,Tom Brady,Tom Brady,76,211
1,4,Marc Bulger,Marc Bulger,74,208
2,3,Giovanni Carmazzi,Giovanni Carmazzi,75,224
3,0,Joe Hamilton,Joe Hamilton,70,192
4,4,Todd Husak,Todd Husak,75,216
5,3,Jarious Jackson,Jarious Jackson,72,226
6,3,Tee Martin,Tee Martin,74,227
7,3,Chad Pennington,Chad Pennington,75,229
8,0,Tim Rattay,Tim Rattay,72,215
9,3,Chris Redman,Chris Redman,75,222
10,3,Spergon Wynn,Spergon Wynn,75,229
11,3,Josh Booty,Josh Booty,74,221
12,0,Drew Brees,Drew Brees,72,213
13,3,Quincy Carter,Quincy Carter,74,225
14,4,Josh Heupel,Josh Heupel,74,215
15,4,Mike McMahon,Mike McMahon,74,207
16,3,Jesse Palmer,Jesse Palmer,74,231
17,2,Sage Rosenfels,Sage Rosenfels,76,228
18,3,Marques Tuiasosopo,Marques Tuiasosopo,73,223
19,0,Michael Vick,Michael Vick,72,210
20,2,Chris Weinke,Chris Weinke,76,226
21,3,David Carr,David Carr,75,223
22,4,Ronald Curry,Ronald Curry,74,220
23,3,Rohan Davey,Rohan Davey,74,245
24,4,Brandon Doman,Brandon Doman,74,210
25,3,Randy Fasani,Randy Fasani,75,224
26,3,David Garrard,David Garrard,74,235
27,4,Joey Harrington,Joey Harrington,76,215
28,3,Kurt Kittner,Kurt Kittner,74,221
29,2,Josh McCown,Josh McCown,76,221
30,3,J.T. O'Sullivan,J.T. O'Sullivan,74,223
31,4,Patrick Ramsey,Patrick Ramsey,74,219
32,3,Kyle Boller,Kyle Boller,75,234
33,4,Ken Dorsey,Ken Dorsey,77,208
34,4,Rex Grossman,Rex Grossman,73,217
35,4,Kliff Kingsbury,Kliff Kingsbury,75,213
36,1,Byron Leftwich,Byron Leftwich,77,241
37,2,Carson Palmer,Carson Palmer,77,232
38,1,Dave Ragone,Dave Ragone,76,249
39,2,Chris Simms,Chris Simms,76,220
40,0,Seneca Wallace,Seneca Wallace,71,196
41,3,Josh Harris,Josh Harris,73,238
42,3,Craig Krenzel,Craig Krenzel,75,228
43,3,J.P. Losman,J.P. Losman,74,224
44,2,Eli Manning,Eli Manning,77,221
45,3,Matt Mauck,Matt Mauck,74,228
46,4,Luke McCown,Luke McCown,76,208
47,1,John Navarre,John Navarre,78,246
48,3,Bradlee Van Pelt,Bradlee Van Pelt,74,231
49,3,Cody Pickett,Cody Pickett,75,233
50,2,Philip Rivers,Philip Rivers,77,229
51,1,Ben Roethlisberger,Ben Roethlisberger,77,241
52,1,Matt Schaub,Matt Schaub,78,243
53,3,Jeff Smoker,Jeff Smoker,75,223
54,0,B.J. Symons,B.J. Symons,72,210
55,1,Derek Anderson,Derek Anderson,78,242
56,2,Jason Campbell,Jason Campbell,77,230
57,3,Ryan Fitzpatrick,Ryan Fitzpatrick,74,232
58,2,Charlie Frye,Charlie Frye,76,225
59,3,David Greene,David Greene,75,226
60,0,Stefan LeFors,Stefan LeFors,72,208
61,4,Adrian McPherson,Adrian McPherson,75,218
62,2,Dan Orlovsky,Dan Orlovsky,77,225
63,2,Kyle Orton,Kyle Orton,76,233
64,3,Aaron Rodgers,Aaron Rodgers,74,223
65,4,Alex Smith,Alex Smith,76,217
66,1,Andrew Walter,Andrew Walter,78,233
67,3,Kellen Clemens,Kellen Clemens,74,224
68,4,Brodie Croyle,Brodie Croyle,74,205
69,3,Jay Cutler,Jay Cutler,75,226
70,4,Bruce Gradkowski,Bruce Gradkowski,73,217
71,3,Tarvaris Jackson,Tarvaris Jackson,74,226
72,2,Omar Jacobs,Omar Jacobs,76,232
73,2,Matt Leinart,Matt Leinart,77,223
74,4,Ingle Martin,Ingle Martin,74,220
75,0,Reggie McNeal,Reggie McNeal,74,198
76,4,D.J. Shockley,D.J. Shockley,73,214
77,2,Charlie Whitehurst,Charlie Whitehurst,77,223
78,2,Vince Young,Vince Young,77,229
79,4,John Beck,John Beck,74,215
80,2,Trent Edwards,Trent Edwards,76,231
81,4,Kevin Kolb,Kevin Kolb,75,218
82,2,Jordan Palmer,Jordan Palmer,78,231
83,2,Brady Quinn,Brady Quinn,76,232
84,2,Jeff Rowe,Jeff Rowe,77,226
85,1,JaMarcus Russell,JaMarcus Russell,77,265
86,3,Troy Smith,Troy Smith,72,225
87,4,Isaiah Stanback,Isaiah Stanback,74,216
88,3,Drew Stanton,Drew Stanton,75,226
89,2,Erik Ainge,Erik Ainge,77,225
90,4,Colt Brennan,Colt Brennan,74,207
91,4,Alex Brink,Alex Brink,74,211
92,3,Brian Brohm,Brian Brohm,75,230
93,4,Dennis Dixon,Dennis Dixon,75,195
94,1,Joe Flacco,Joe Flacco,78,236
95,3,Matt Flynn,Matt Flynn,74,231
96,3,Chad Henne,Chad Henne,75,230
97,4,Josh Johnson,Josh Johnson,75,213
98,2,Kevin O'Connell,Kevin O'Connell,77,225
99,2,Matt Ryan,Matt Ryan,77,228
100,2,Andre Woodson,Andre Woodson,76,229
101,3,Rhett Bomar,Rhett Bomar,74,225
102,2,Tom Brandstater,Tom Brandstater,77,220
103,3,Nate Davis,Nate Davis,73,226
104,1,Josh Freeman,Josh Freeman,78,248
105,3,Stephen McGee,Stephen McGee,75,225
106,3,Curtis Painter,Curtis Painter,75,225
107,3,Mark Sanchez,Mark Sanchez,74,227
108,3,Matthew Stafford,Matthew Stafford,74,225
109,0,Pat White,Pat White,72,197
110,2,Sam Bradford,Sam Bradford,76,236
111,3,Levi Brown,Levi Brown,75,229
112,2,Sean Canfield,Sean Canfield,76,223
113,3,Jimmy Clausen,Jimmy Clausen,75,222
114,3,Mike Kafka,Mike Kafka,75,225
115,3,Dan LeFevour,Dan LeFevour,75,230
116,4,Colt McCoy,Colt McCoy,73,216
117,2,Tony Pike,Tony Pike,78,223
118,4,Zac Robinson,Zac Robinson,74,214
119,1,John Skelton,John Skelton,77,243
120,3,Tim Tebow,Tim Tebow,75,236
121,4,Andy Dalton,Andy Dalton,74,215
122,1,Nathan Enderle,Nathan Enderle,76,240
123,2,Blaine Gabbert,Blaine Gabbert,76,234
124,2,Colin Kaepernick,Colin Kaepernick,77,233
125,3,Jake Locker,Jake Locker,74,231
126,1,Ryan Mallett,Ryan Mallett,79,253
127,4,Greg McElroy,Greg McElroy,74,220
128,1,Cam Newton,Cam Newton,77,248
129,3,Christian Ponder,Christian Ponder,74,229
